Outreach Channel,Target Audience,Message Focus,CTA,Expected Response Rate,Notes
WhatsApp (Direct),Local business owners in Jaipur,"We noticed your business could benefit from a faster website / better online presence / lead capture system",Free audit / quick call,15-25%,Primary CTA is WhatsApp - use it for outreach too
Cold Email (Personalized),"Marketing heads, Directors, Founders at manufacturing/coaching/retail companies",Reference specific pain point: 'We helped MAAC generate 500+ qualified leads - can we do the same for you?',Free consultation call,3-8%,Personalize with company name and specific service need
LinkedIn DM,"CTOs, Founders, Marketing Heads at funded startups and mid-size companies",'Saw your company is growing - we build scalable web apps for companies at your stage',Free technical consultation,5-12%,Use Sales Navigator for better targeting
Google Ads (Retargeting),People who visited your website but didn't convert,'Still need a website? We build websites that convert. See our work →',Free consultation,2-5%,Set up retargeting pixel on reverbex.in
Meta Ads (Lead Gen),Business owners 25-55 in target cities,Industry-specific: 'Running a manufacturing company? 97% say digital transformation is essential - we can help',WhatsApp message / Free audit,1-3%,Run separate campaigns per industry vertical
Instagram DM,"Fashion brands, food brands, lifestyle businesses, local retail",Comment on their posts first, then DM: 'Love your brand! We help brands like yours get more online sales',Free brand audit,5-10%,Warm outreach - engage before pitching
Industry WhatsApp Groups,"Small business owners in Jaipur/Rajasthan",Share value first: tips on digital marketing, website optimization - then offer free consultation,Free tips guide → consultation,5-15%,Join local business groups and contribute before pitching
Google My Business,People searching for 'web development Jaipur' etc.,Optimize your GMB profile with reviews and posts,Call/WhatsApp from GMB listing,20-30%,High intent - they're actively searching
YouTube/Content Marketing,"Business owners researching digital transformation",Educational videos: 'How manufacturing companies save lakhs with ERP',Free consultation from video description,1-3%,Long-term lead gen channel
Referrals,Existing clients and professional network,"Ask: 'Do you know anyone who needs a website/CRM/ERP?' Offer referral incentive",Free service credit or commission,30-50%,Highest conversion rate channel
