Category,Industry,Service Needed,Lead Source,Search Query/Method,Who to Contact,Priority,Notes
Manufacturing Companies,Manufacturing & B2B,ERP System;Website,IndiaMART,"search 'manufacturing companies' on IndiaMART or Google Maps",Owner/Operations Manager/Director,High,97% of Indian manufacturers say digital transformation is essential - hot market
Education & Coaching,Education & Coaching,Website;Meta Ads;Google Ads;Lead Generation,Google Maps + LinkedIn,"search 'coaching institute' 'education institute' in target cities",Director/Owner/Marketing Head,High,Reverbex already has case study with MAAC - proven niche
E-Commerce & Retail,E-Commerce & Retail,Custom Website;E-Commerce;SEO,Google Maps + IndiaMART,"search 'retail store' 'ecommerce brand' 'clothing brand' needing Shopify migration",Founder/Owner/E-commerce Manager,High,Shopify stores that are slow/bloated are ideal - see Aarya Clothing case study
Logistics & Supply Chain,Logistics & Supply Chain,ERP System;AI Solutions;WhatsApp Automation,LinkedIn + Google Maps,"search 'logistics company' 'supply chain' 'courier service' in target cities",Operations Head/IT Manager/Director,High,Need AI-driven tracking and operational portals
Tech Startups,Tech Startups,Custom Website;Mobile App;SEO,LinkedIn + AngelList + Crunchbase,"search 'funded startup' 'seed stage' 'pre-seam' companies needing tech teams",CTO/Founder/Tech Lead,Medium,Need scalable web apps and rapid go-to-market funnels
Local Retail,Local Retail,WhatsApp Automation;Meta Ads;Google Ads,Google Maps + JustDial,"search 'retail shop' 'grocery' 'electronics store' 'fashion store' in Jaipur/local area",Owner/Manager,High,Need omnichannel digital strategies - low hanging fruit
Real Estate,Real Estate,Website;Lead Generation;Meta Ads;SEO,Google Maps + LinkedIn,"search 'real estate developer' 'property builder' 'real estate agent'",Marketing Head/Owner/Director,High,Need lead gen funnels and digital presence
Healthcare & Wellness,Healthcare & Wellness,Website;WhatsApp Automation;CRM,Google Maps + LinkedIn,"search 'hospital' 'clinic' 'wellness center' 'gym' 'spa'",Owner/Administrator/Marketing Head,Medium,Need patient acquisition and booking systems
Food & Beverage,Food & Beverage,E-Commerce Website;Meta Ads;Google Ads;WhatsApp,Google Maps + JustDial,"search 'restaurant' 'cloud kitchen' 'food brand' 'bakery'",Owner/Founder/Manager,Medium,Need online ordering and delivery integration
Professional Services,Professional Services (CA/Law/Consulting),Website;CRM;Lead Generation,LinkedIn + Google Maps,"search 'CA firm' 'law firm' 'consulting firm' 'accounting firm'",Partner/Owner/Director,Medium,Need client management and professional web presence
Hotels & Hospitality,Travel & Tourism,Website;SEO;Google Ads;Meta Ads,Google Maps + TripAdvisor,"search 'hotel' 'resort' 'travel agency' 'tour operator'",Owner/Marketing Manager,Medium,Need booking systems and online visibility
Fashion & Lifestyle,E-Commerce & Retail,E-Commerce Website;Meta Ads;Instagram;SEO,Google Maps + Instagram,"search 'fashion brand' 'clothing line' 'boutique' in target cities",Founder/Owner,High,Need Instagram-first e-commerce with fast checkout
Automobile & Automotive,Manufacturing & B2B,Website;CRM;WhatsApp Automation,Google Maps + IndiaMART,"search 'auto dealer' 'car showroom' 'spare parts manufacturer'",Owner/Marketing Head,Medium,Need CRM for lead management and WhatsApp follow-ups
Pharmaceuticals & Chemicals,Manufacturing & B2B,ERP System;WhatsApp Automation;Website,LinkedIn + IndiaMART,"search 'pharmaceutical company' 'chemical manufacturer' in target regions",IT Head/Operations Manager/Director,High,Need inventory and compliance tracking - regulated industry
Agriculture & Farming,Agriculture,Website;WhatsApp Automation;Meta Ads,Google Maps + Local Directories,"search 'agri business' 'farm equipment' 'organic food brand'",Owner/Founder/Director,Low-Medium,Need digital presence for rural market access
Event Planning & Management,Event Management,Website;Lead Generation;Meta Ads;WhatsApp,Google Maps + LinkedIn,"search 'event management company' 'wedding planner' 'corporate event'",Founder/Owner,Medium,Need lead capture and portfolio showcase
Fitness & Sports,Sports & Recreation,Website;WhatsApp Automation;Meta Ads;Lead Gen,Google Maps,"search 'gym' 'fitness center' 'sports academy' 'yoga studio'",Owner/Manager,Medium,Need member acquisition and booking systems
Printing & Packaging,Manufacturing & B2B,Website;E-Commerce;WhatsApp Automation,IndiaMART + Google Maps,"search 'printing press' 'packaging company' 'label manufacturer'",Owner/Sales Manager,Medium,Need order management and digital catalog
Interior Design & Architecture,Real Estate,Website;Instagram;Lead Generation;Portfolio Site,Google Maps + LinkedIn,"search 'interior designer' 'architect' 'home decor brand'",Founder/Owner,Medium,Need portfolio website and lead capture
NGO & Non-Profit,Non-Profit,Website;WhatsApp Automation;Lead Generation,LinkedIn + Google Maps,"search 'NGO' 'non-profit' 'foundation' 'charitable trust'",Director/Marketing Head,Low,Need donation and volunteer management systems
